AnnoA;AteneoNOME;AteneoCOD;SESSO;Isc
2009/2010;Napoli Parthenope;6302;M;9399
2009/2010;Napoli Pegaso - telematica;6307;F;1004
2009/2010;Napoli Pegaso - telematica;6307;M;1760
2009/2010;Napoli Vanvitelli;6306;F;17287
2009/2010;Napoli Vanvitelli;6306;M;12933
2009/2010;Novedrate e-Campus - telematica;1301;F;1863
2009/2010;Novedrate e-Campus - telematica;1301;M;2847
2009/2010;Padova;2801;F;34141
2009/2010;Padova;2801;M;26671
2009/2010;Palermo;8201;F;32597
2009/2010;Palermo;8201;M;21423
2009/2010;Parma;3401;F;16399
2009/2010;Parma;3401;M;12535
2009/2010;Pavia;1801;F;12263
2009/2010;Pavia;1801;M;9613
2009/2010;Perugia;5401;F;17473
2009/2010;Perugia;5401;M;13359
2009/2010;Perugia Stranieri;5403;F;1001
2009/2010;Perugia Stranieri;5403;M;729
2009/2010;Piemonte Orientale;201;F;5815
2009/2010;Piemonte Orientale;201;M;3518
2009/2010;Pisa;5001;F;26160
2009/2010;Pisa;5001;M;23882
2009/2010;Reggio Calabria;8001;F;4891
2009/2010;Reggio Calabria;8001;M;4806
2009/2010;Reggio Calabria - Dante Alighieri;8003;F;96
2009/2010;Reggio Calabria - Dante Alighieri;8003;M;23
2009/2010;Roma  Mercatorum - telematica;5814;F;56
2009/2010;Roma  Mercatorum - telematica;5814;M;66
2009/2010;Roma Biomedico;5808;F;644
2009/2010;Roma Biomedico;5808;M;452
2009/2010;Roma Europea;5812;F;487
2009/2010;Roma Europea;5812;M;317
2009/2010;Roma Foro Italico;5806;F;383
2009/2010;Roma Foro Italico;5806;M;717
2009/2010;Roma La Sapienza;5801;F;75318
2009/2010;Roma La Sapienza;5801;M;51056
2009/2010;Roma Luiss;5805;F;3707
2009/2010;Roma Luiss;5805;M;3343
2009/2010;Roma LUMSA;5803;F;4544
2009/2010;Roma LUMSA;5803;M;2230
2009/2010;Roma Marconi - telematica;5810;F;2977
2009/2010;Roma Marconi - telematica;5810;M;8330
2009/2010;Roma San Raffaele - telematica;5816;F;96
2009/2010;Roma San Raffaele - telematica;5816;M;166
2009/2010;Roma Tor Vergata;5802;F;18806
2009/2010;Roma Tor Vergata;5802;M;16648
2009/2010;Roma Tre;5807;F;20899
2009/2010;Roma Tre;5807;M;14405
2009/2010;Roma UNICUSANO - telematica;5815;F;1945
2009/2010;Roma UNICUSANO - telematica;5815;M;3721
2009/2010;Roma UNINETTUNO - telematica;5813;F;1249
2009/2010;Roma UNINETTUNO - telematica;5813;M;2116
2009/2010;Roma UNINT;5809;F;780
2009/2010;Roma UNINT;5809;M;466
2009/2010;Roma UNITELMA - telematica;5811;F;355
2009/2010;Roma UNITELMA - telematica;5811;M;559
2009/2010;Salento;7501;F;17174
2009/2010;Salento;7501;M;8694
2009/2010;Salerno;6501;F;22498
2009/2010;Salerno;6501;M;14567
2009/2010;Sannio;6201;F;3459
2009/2010;Sannio;6201;M;3257
2009/2010;Sassari;9001;F;9260
2009/2010;Sassari;9001;M;4803
2009/2010;Siena;5201;F;9653
2009/2010;Siena;5201;M;6586
2009/2010;Siena Stranieri;5202;F;498
2009/2010;Siena Stranieri;5202;M;90
2009/2010;Teramo;6701;F;4959
2009/2010;Teramo;6701;M;3788
2009/2010;Torino;101;F;39588
2009/2010;Torino;101;M;23398
2009/2010;Torino Politecnico;102;F;7192
2009/2010;Torino Politecnico;102;M;18595
2009/2010;Torrevecchia Teatina Leonardo da Vinci - telematica;6902;F;211
2009/2010;Torrevecchia Teatina Leonardo da Vinci - telematica;6902;M;154
2009/2010;Trento;2201;F;7876
2009/2010;Trento;2201;M;7350
2009/2010;Trieste;3201;F;10959
2009/2010;Trieste;3201;M;8079
2009/2010;Tuscia;5601;F;3760
2009/2010;Tuscia;5601;M;5141
2009/2010;Udine;3001;F;8766
2009/2010;Udine;3001;M;7570
2009/2010;Urbino;4101;F;9320
2009/2010;Urbino;4101;M;5650
2009/2010;Venezia Iuav;2702;F;2838
2009/2010;Venezia Iuav;2702;M;2985
2009/2010;Verona;2301;F;14255
2009/2010;Verona;2301;M;7387
2008/2009;Aosta;701;F;811
2008/2009;Aosta;701;M;255
2008/2009;Bari;7201;F;38658
2008/2009;Bari;7201;M;20916
2008/2009;Bari Politecnico;7202;F;3635
2008/2009;Bari Politecnico;7202;M;8800
2008/2009;Basilicata;7601;F;4618
2008/2009;Basilicata;7601;M;3761
2008/2009;Benevento Giustino Fortunato - telematica;6202;F;130
2008/2009;Benevento Giustino Fortunato - telematica;6202;M;295
2008/2009;Bergamo;1601;F;8707
2008/2009;Bergamo;1601;M;5338
2008/2009;Bologna;3701;F;47160
2008/2009;Bologna;3701;M;37159
2008/2009;Bolzano;2101;F;1682
2008/2009;Bolzano;2101;M;679
2008/2009;Bra Scienze Gastronomiche;401;F;97
2008/2009;Bra Scienze Gastronomiche;401;M;117
2008/2009;Brescia;1701;F;6573
2008/2009;Brescia;1701;M;7559
2008/2009;Ca' Foscari Venezia;2701;F;10979
2008/2009;Ca' Foscari Venezia;2701;M;6351
2008/2009;Cagliari;9201;F;20410
2008/2009;Cagliari;9201;M;12257
2008/2009;Calabria;7801;F;19472
2008/2009;Calabria;7801;M;14044
2008/2009;Camerino;4302;F;3954
2008/2009;Camerino;4302;M;4407
2008/2009;Casamassima – LUM G. Degennaro;7203;F;400
2008/2009;Casamassima – LUM G. Degennaro;7203;M;644
2008/2009;Cassino;6001;F;6675
2008/2009;Cassino;6001;M;5081
2008/2009;Castellanza LIUC;1201;F;643
2008/2009;Castellanza LIUC;1201;M;1210
2008/2009;Catania;8701;F;35721
2008/2009;Catania;8701;M;22356
2008/2009;Catanzaro;7901;F;6864
2008/2009;Catanzaro;7901;M;4472
2008/2009;Chieti e Pescara;6901;F;18888
2008/2009;Chieti e Pescara;6901;M;11002
2008/2009;Enna KORE;8601;F;2272
2008/2009;Enna KORE;8601;M;1599
2008/2009;Ferrara;3801;F;9306
2008/2009;Ferrara;3801;M;7845
2008/2009;Firenze;4801;F;34363
2008/2009;Firenze;4801;M;24465
2008/2009;Firenze IUL - telematica;4804;F;36
2008/2009;Firenze IUL - telematica;4804;M;9
2008/2009;Foggia;7101;F;6925
